id,name,familyId,attribute,experienceKind,evolutionStage,attack,hp,moveNames,dexDescription,isRare,imageFileName,goalGauge,evolutionRequiredFragments,dexStoryEnabled,dexStoryRequiredFragments
tsururin,ツルリン,tsururin,こおり,fast,1,18,79,つるりん|アイスステップ,つるつるのゆかで くるっと回る。,FALSE,tsururin.webp,120,,FALSE,
sunomaru,スノマル,sunomaru,こおり,rare,1,27,220,スノーバンプ|まるまり,丸くなってねむる レアな子。,TRUE,sunomaru.webp,200,,FALSE,
hinokoro,ヒノコロ,hinokoro,ほのお,standard,1,15,89,ひのこ|ころがり,小さな火をけさずに ゆっくり歩く。,FALSE,hinokoro.webp,110,,FALSE,
hinobou,ヒノボウ,hinokoro,ほのお,standard,2,27,122,ひのこ|あつあつパンチ,しっぽの火が強くなるほど、足どりも強くなる。,FALSE,hinobou.webp,140,,FALSE,
hinogard,ヒノガルド,hinokoro,ほのお,standard,3,41,110,あつあつパンチ|ブレイズガード,火のわで なかまをまもる番人。,FALSE,hinogard.webp,170,,FALSE,
merarun,メラルン,merarun,ほのお,fast,1,14,76,メラタッチ|ひばな,気分が上がると頭の火花がぱちぱち鳴る。,FALSE,merarun.webp,110,,FALSE,
merarion,メラリオン,merarun,ほのお,fast,2,29,114,メラタッチ|フレアステップ,火花でリズムをとり はねる。,FALSE,merarion.webp,150,,FALSE,
pokkuma,ポックマ,pokkuma,ほのお,standard,1,19,102,ぽかぽか|くまパンチ,あたたかい岩で なかまをたすける。,FALSE,pokkuma.webp,120,,FALSE,
yakorin,ヤコリン,yakorin,ほのお,standard,1,13,80,やけどダッシュ|ほのおキック,あつい土の上でも かるくはねる。,FALSE,yakorin.webp,110,,FALSE,
yakibunny,ヤキバニー,yakorin,ほのお,standard,2,26,115,ほのおキック|バーニングホップ,ジャンプあとに 星の火花がのこる。,FALSE,yakibunny.webp,140,,FALSE,
yakibanigon,ヤキバニゴン,yakorin,ほのお,standard,3,39,155,バーニングホップ|ドラゴンフレア,火山の風をすって 大きな火にする。,FALSE,yakibanigon.webp,170,,FALSE,
kogemaru,コゲマル,kogemaru,ほのお,fast,1,18,93,こげころ|あついけむり,黒い石のふりをして休む。楽しくなると中から赤く光る。,FALSE,kogemaru.webp,120,,FALSE,
achichin,アチチン,achichin,ほのお,rare,1,32,152,アチチパンチ|ホットコア,めったに見えない あつい石。,TRUE,achichin.webp,200,,FALSE,
biricoro,ビリコロ,biricoro,かみなり,standard,1,14,84,ビリタッチ|ころピカ,体にたまった電気で、草を少しだけ光らせる。,FALSE,biricoro.webp,120,,FALSE,
biriran,ビリラン,biricoro,かみなり,standard,2,26,117,ビリタッチ|でんきラン,走るたび 足元がぴかっと光る。,FALSE,biriran.webp,150,,FALSE,
biribiriman,ビリビリマン,biricoro,かみなり,standard,3,40,152,でんきラン|サンダーエール,かみなり音で なかまに合図する。,FALSE,biribiriman.webp,180,,FALSE,
raimaru,ライマル,raimaru,かみなり,fast,1,16,80,ライボール|しびれわた,ふわふわの毛に電気をため、夜道を明るくする。,FALSE,raimaru.webp,120,,FALSE,
raijinmaru,ライジンマル,raimaru,かみなり,fast,2,33,121,ライボール|かみなりわた,大きな毛玉が ぴかっとはれる。,FALSE,raijinmaru.webp,160,,FALSE,
kumorin,クモリン,kumorin,かみなり,standard,1,18,97,くもパンチ|ピカしずく,小さな雲にのって ふわりと行く。,FALSE,kumorin.webp,130,,FALSE,
chirip,チリチリ,chirip,かみなり,fast,1,13,72,チリコード|スパークキック,耳の先が光ると 雨が近い。,FALSE,chirip.webp,120,,FALSE,
chirichiri,チリコード,chirip,かみなり,fast,2,30,100,スパークキック|ジグザグライト,ジグザグに走り 光の線をのこす。,FALSE,chirichiri.webp,150,,FALSE,
godchiri,ゴッド・チリ,chirip,かみなり,fast,3,77,77,ジグザグライト|ボルトジャンプ,高台からジャンプして すぐ下りる。,FALSE,godchiri.webp,180,,TRUE,
pikopiko,ピコピコ,pikopiko,かみなり,fast,1,17,79,ピコショック|ピカダッシュ,数を数えると テンポが早くなる。,FALSE,pikopiko.webp,130,,FALSE,
goropeka,ゴロペカ,goropeka,かみなり,rare,1,35,130,ゴロピカ|レアスパーク,かみなり音の夜に あらわれる。,TRUE,goropeka.webp,200,,FALSE,
awapon,アワポン,awapon,みず,standard,1,11,88,あわタッチ|ぷかぷか,あわの中で 昼ねする。,FALSE,awapon.webp,120,,FALSE,
awazarashi,アワザラシ,awapon,みず,standard,2,23,121,あわタッチ|バブルカーブ,あわをつないで 小川をわたる。,FALSE,awazarashi.webp,150,,FALSE,
awagran,アワグラン,awapon,みず,standard,3,36,155,バブルカーブ|アクアベル,大きなあわの音で なかまをよぶ。,FALSE,awagran.webp,180,,FALSE,
namirin,ナミリン,namirin,みず,fast,1,15,85,なみタックル|みずしぶき,小さな水に合わせて ゆらゆら。,FALSE,namirin.webp,120,,FALSE,
namiou,ナミオウ,namirin,みず,fast,2,31,125,なみタックル|ウェーブガード,水の形を読んで みずべをまもる。,FALSE,namiou.webp,160,,FALSE,
pururunrun,プルルンルン,pururunrun,みず,fast,1,17,81,ぷるタッチ|しずくガード,ぷるぷるの体で しずくとあそぶ。,FALSE,pururunrun.webp,130,,FALSE,
shizukuchan,シズクチャン,shizukuchan,みず,standard,1,9,30,しずくパンチ|みずのめ,はっぱの先から 水をぽたり。,FALSE,shizukuchan.webp,120,,FALSE,
shizurun,シズクネキ,shizukuchan,みず,standard,2,15,130,しずくパンチ|レインステップ,雨のリズムで しずかにおどる。,FALSE,shizurun.webp,150,,FALSE,
shizuroad,シズロード,shizukuchan,みず,standard,3,25,250,レインステップ|アクアロード,水の道をかいて 池まであんない。,FALSE,shizuroad.webp,180,,FALSE,
potapon,ポタポン,potapon,みず,fast,1,16,80,ぽたぽた|しずくジャンプ,しずくの音で 高くジャンプする。,FALSE,potapon.webp,130,,FALSE,
mizukira,ミズキラ,mizukira,みず,rare,1,33,151,キラしずく|レアウェーブ,朝だけ水にうつる レアな子。,TRUE,mizukira.webp,200,,FALSE,
kagemaru,カゲマル,kagemaru,よる,standard,1,13,94,かげタッチ|こそこそ,月明かりの下で かくれんぼ。,FALSE,kagemaru.webp,130,,FALSE,
kagebouya,カゲボウヤ,kagemaru,よる,standard,2,25,127,かげタッチ|ムーンステップ,かげを長くして 音を聞く。,FALSE,kagebouya.webp,160,,FALSE,
kageou,カゲオウ,kagemaru,よる,standard,3,39,163,ムーンステップ|ナイトサイン,よるのいせきで 道をてらす。,FALSE,kageou.webp,190,,FALSE,
tsukinoko,ツキノコ,tsukinoko,よる,fast,1,15,79,つきのこパンチ|ほしのこな,月の形のかさで 星をあつめる。,FALSE,tsukinoko.webp,130,,FALSE,
ootsukinoko,オオツキノコ,tsukinoko,よる,fast,2,30,118,つきのこパンチ|ムーンリング,光のわを回して 道をてらす。,FALSE,ootsukinoko.webp,170,,FALSE,
nemuriko,ネムリコ,nemuriko,よる,fast,1,14,74,ねむねむ|ゆめキック,ねむそうでも すばやく走る。,FALSE,nemuriko.webp,140,,FALSE,
lumina,ルミナ,lumina,よる,standard,1,12,91,ルミライト|きらめき,小さな光をむねに 夜を歩く。,FALSE,lumina.webp,130,,FALSE,
lumiel,ルミエル,lumina,よる,standard,2,24,124,ルミライト|スターライン,星の線をなぞって とびらを見つける。,FALSE,lumiel.webp,160,,FALSE,
lumiroad,ルミロード,lumina,よる,standard,3,38,150,スターライン|ナイトロード,光の道で まいごを家へおくる。,FALSE,lumiroad.webp,190,,FALSE,
yoru,ヨル,yoru,よる,fast,1,17,87,よるころん|ムーンバンプ,夜の石道を ころころすすむ。,FALSE,yoru.webp,140,,FALSE,
hoshimimi,ホシミミ,hoshimimi,よる,rare,1,34,141,ほしキック|レアムーン,星の夜だけ あらわれる。,TRUE,hoshimimi.webp,200,,FALSE,
mokousagi,モコウサギ,mokousagi,時計,standard,1,14,82,10分ジャンプ|ふわ時計,10分ごとに ふわりとはねる。時計の音が すき。,FALSE,mokousagi.webp,120,,FALSE,
mokokousagi,モココウサギ,mokousagi,時計,standard,2,26,117,ふわ時計|ふたりジャンプ,ふたりで 10分を 数える。耳を見て ならぶ。,FALSE,mokokousagi.webp,160,,FALSE,
rabimajo,ラビマジョ,rabimajo,よる,standard,1,40,114,1時間まほう|ラビエール,1時間の まほうで みんなを 元気にする。,FALSE,rabimajo.webp,140,,FALSE,
tsubutako,ツブタコ,tsubutako,時計,fast,1,16,80,タコタイム|10分タップ,10分のしるしを 足でトントンする。,FALSE,tsubutako.webp,120,,FALSE,
tsuruttako,ツルッタコ,tsubutako,時計,fast,2,32,126,タコタイム|つる10分,1時間まで つるっと すすむ。分の数を 見る。,FALSE,tsuruttako.webp,160,,FALSE,
tokekokko,トケコッコ,tokekokko,時計,standard,1,15,87,コッコタイム|はねどけい,小さな時計の音に あわせて 羽をぱたぱたする。,FALSE,tokekokko.webp,120,,FALSE,
pironos,ピロノス,tokekokko,時計,standard,2,31,123,はねどけい|クロックウィング,大きな金の羽で 1時間の流れを まっすぐ見つける。,FALSE,pironos.webp,150,,FALSE,
tsukuyomi,ツクヨミ,tokekokko,時計,standard,3,46,170,クロックウィング|ツクヨミベル,月と時計の力を ひらき、時間の輪を しずかに守る。,FALSE,tsukuyomi.webp,180,,FALSE,
tenpico,テンピコ,tenpico,10,standard,1,12,85,テンタッチ|いちたす,10のとうで 数を数える。,FALSE,tenpico.webp,120,,FALSE,
tenril,テンリル,tenpico,10,standard,2,25,119,テンタッチ|ぴったり10,足音が10回で にっこり止まる。,FALSE,tenril.webp,150,,FALSE,
tenroad,テンロード,tenpico,10,standard,3,40,162,ぴったり10|テンロード,10のまとまりで かねを鳴らす。,FALSE,tenroad.webp,180,,FALSE,
maruten,マルテン,maruten,10,fast,1,14,78,まるタッチ|テンボール,丸をあつめて 10こずつしまう。,FALSE,maruten.webp,120,,FALSE,
maruteon,マルテオン,maruten,10,fast,2,29,116,まるタッチ|テンリング,10この丸で まどをかざる。,FALSE,maruteon.webp,160,,FALSE,
icchoku,イッチョク,icchoku,10,fast,1,16,76,いっちょくせん|テンジャンプ,まっすぐ走り 10歩ではねる。,FALSE,icchoku.webp,130,,FALSE,
soroban,ソロバン,soroban,10,standard,1,13,94,そろえる|たまパンチ,玉をそろえる音が すき。,FALSE,soroban.webp,120,,FALSE,
sorobal,ソロバル,soroban,10,standard,2,27,130,たまパンチ|テンカウント,玉をはじいて、10のまとまりを合図する。,FALSE,sorobal.webp,150,,FALSE,
soroking,ソロキング,soroban,10,standard,3,42,165,テンカウント|キングアバカス,大きな玉を一つで 答えがそろう。,FALSE,soroking.webp,180,,FALSE,
kazumaru,カズマル,kazumaru,10,fast,1,17,87,かぞえる|テンステップ,丸い体で 数をおぼえる。,FALSE,kazumaru.webp,130,,FALSE,
rainbow,レインボー,rainbow,10,rare,1,35,154,にじカウント|レアテン,10もんれんぞく正かいで あらわれる。,TRUE,rainbow.webp,200,,FALSE,
sagarun,サガルン,sagarun,ひき算,standard,1,12,85,サガタッチ|ひとつもどる,数の道を一歩ずつもどる。,FALSE,sagarun.webp,110,,FALSE,
sagarii,サガリィ,sagarun,ひき算,standard,2,24,118,ひとつもどる|のこりライン,足あとを光らせて おしえる。,FALSE,sagarii.webp,140,,FALSE,
sagalord,サガロード,sagarun,ひき算,standard,3,38,160,のこりライン|マイナスロード,数の道をまっすぐにする。,FALSE,sagalord.webp,170,,FALSE,
hikikoma,ヒキコマ,hikikoma,ひき算,fast,1,17,91,こまひき|くるりマイナス,引く数だけ 目じるしをたおす。,FALSE,hikikoma.webp,120,,FALSE,
nokobou,ノコボウ,nokobou,ひき算,fast,1,14,78,のこりぼう|テンチェック,小さなぼうで のこりを見る。,FALSE,nokobou.webp,120,,FALSE,
nokobolt,ノコボルト,nokobou,ひき算,fast,2,29,114,テンチェック|リマインドボルト,数が合うと 頭がぴかっと光る。,FALSE,nokobolt.webp,160,,FALSE,
kurisaru,クリサル,kurisaru,ひき算,slow,1,18,109,くりさげ|ひとつかりる,足りない時は となりからかりる。,FALSE,kurisaru.webp,130,,FALSE,
kurisage,クリサージ,kurisaru,ひき算,slow,2,33,145,ひとつかりる|くらいチェンジ,十のくらいから 一のくらいへわける。,FALSE,kurisage.webp,160,,FALSE,
kurigaon,クリガオン,kurisaru,ひき算,slow,3,45,180,くらいチェンジ|マイナスガード,大きな手で ひき算をささえる。,FALSE,kurigaon.webp,190,,FALSE,
zerogardx,ゼロガードX,zerogardx,ひき算,slow,1,24,118,ゼロまもり|のこりシールド,答えが0でも あわてない子。,FALSE,zerogardx.webp,145,,FALSE,
hikine,ヒキネ,hikine,もり,standard,1,12,85,ひきタッチ|はっぱひき,はっぱを一まいずつ 数える。,FALSE,hikine.webp,120,,FALSE,
hikiron,ヒキロン,hikine,もり,standard,2,24,118,はっぱひき|のこりサイン,引いた後の数を 形でおしえる。,FALSE,hikiron.webp,150,,FALSE,
hikigami,ヒキガミ,hikine,もり,standard,3,37,146,のこりサイン|フォレストマイナス,森の道を きれいにする。,FALSE,hikigami.webp,180,,FALSE,
nokorin,ノコリン,nokorin,もり,fast,1,15,75,のこりキック|ぴょんひき,のこった木のみを 数える。,FALSE,nokorin.webp,120,,FALSE,
nokorion,ノコリオン,nokorin,もり,fast,2,30,114,のこりキック|リマインドジャンプ,とびながら 数をおぼえる。,FALSE,nokorion.webp,160,,FALSE,
hikizuru,ヒキズル,hikizuru,もり,fast,1,16,86,ずるずる|のこりガード,長いしっぽで 線を引く。,FALSE,hikizuru.webp,130,,FALSE,
keshipa,ケシパ,keshipa,もり,standard,1,11,82,けしけし|リーフワイプ,まちがえた足あとを けす。,FALSE,keshipa.webp,120,,FALSE,
keshipal,ケシパル,keshipa,もり,standard,2,23,115,リーフワイプ|クリアステップ,はっぱをあつめて 道をきれいにする。,FALSE,keshipal.webp,150,,FALSE,
keshidon,ケシドン,keshipa,もり,standard,3,36,159,クリアステップ|マイナスドン,大きな手で 森の道をならす。,FALSE,keshidon.webp,180,,FALSE,
zubagiri,ズバギリ,zubagiri,もり,fast,1,16,80,のこりポン|マイナスジャンプ,のこりを数えて はこにしまう。,FALSE,zubagiri.webp,130,,FALSE,
komorebi,コモレビ,komorebi,もり,rare,1,34,151,こもれび|レアリーフ,木もれ日の丸いばしょに出るレアな子。,TRUE,komorebi.webp,200,,FALSE,
ishikoro,イシコロ,ishikoro,いし,standard,1,14,96,いしころ|ごつん,小石のふりで ころっとする。,FALSE,ishikoro.webp,130,,FALSE,
ishigoro,イシゴロ,ishikoro,いし,standard,2,27,130,ごつん|ロックロール,さか道を ころがって止まらない。,FALSE,ishigoro.webp,160,,FALSE,
ishigaon,イシガオン,ishikoro,いし,standard,3,41,165,ロックロール|ストーンガード,谷の岩を組み 風からまもる。,FALSE,ishigaon.webp,190,,FALSE,
sabimaru,サビマル,sabimaru,いし,slow,1,16,104,さびタックル|ごろごろ,古い石の色をしていて、夕方の谷にとけこむ。,FALSE,sabimaru.webp,130,,FALSE,
sabigon,サビゴン,sabimaru,いし,slow,2,33,149,さびタックル|アイアンころがり,かたい体で 道の石をたいらにする。,FALSE,sabigon.webp,170,,FALSE,
sunasuna,スナスナ,sunasuna,いし,fast,1,15,79,すなはらい|たまガード,すなをまとって 丸くなる。,FALSE,sunasuna.webp,140,,FALSE,
ganpiro,ガンピロ,ganpiro,いし,standard,1,12,91,がんせき|ピカロック,たいらな石の上で 日なたぼっこ。,FALSE,ganpiro.webp,130,,FALSE,
ganroku,ガンロク,ganpiro,いし,standard,2,25,125,ピカロック|ロックライン,岩の線をなぞり 谷の地図をおぼえる。,FALSE,ganroku.webp,160,,FALSE,
gantetsu,ガンテツ,ganpiro,いし,standard,3,39,163,ロックライン|テツガード,おもい体で はしをささえる。,FALSE,gantetsu.webp,190,,FALSE,
maruishi,マルイシ,maruishi,いし,fast,1,17,87,まるいし|ころストーン,丸い石で 道にならぶ。,FALSE,maruishi.webp,140,,FALSE,
kiramekisama,キラメキサマ,kiramekisama,いし,rare,1,36,155,きらめき|レアストーン,朝日が谷にさす時 石から出る。,TRUE,kiramekisama.webp,200,,FALSE,
ehonchan,えほんちゃん,ehonchan,10,standard,1,13,85,ページタッチ|たしページ,ページをめくって 数をたす。,FALSE,ehonchan.webp,120,,FALSE,
ehonsenshi,えほんせんし,ehonchan,10,standard,2,26,120,たしページ|ブックガード,足し算のページを まもる。,FALSE,ehonsenshi.webp,150,,FALSE,
ehonou,えほん王,ehonchan,10,slow,3,41,162,ブックガード|えほんの王,大きな本で 数の道をてらす。,FALSE,ehonou.webp,180,,FALSE,
kabanban,かばんばん,kabanban,10,standard,1,18,94,かばんタッチ|たしもの,かばんに 数をしまって たしかめる。,FALSE,kabanban.webp,130,,FALSE,
keshikeshikun,ケシケシクン,keshikeshikun,ひき算,standard,1,13,86,けしけし|ひきタッチ,のこりの数を やさしく見る。,FALSE,keshikeshikun.webp,120,,FALSE,
keshirina,ケシリーナ,keshikeshikun,ひき算,standard,2,26,120,ひきタッチ|クリアリボン,まちがえたあとを きれいにする。,FALSE,keshirina.webp,150,,FALSE,
keshirobot,ケシロボット,keshikeshikun,ひき算,slow,3,42,165,クリアリボン|ロボけし,大きな手で 数のあとを けす。,FALSE,keshirobot.webp,180,,FALSE,
tukamaran,ツカマラン,tukamaran,,,1,,58,,実験用に作られたモンスター、捕獲するときにいっぱい問題解く必要あり,FALSE,,1000,,FALSE,
nigirin,ニギリン,nigirin,10,standard,1,20,50,ころころ|にぎりパンチ,のりにくるまって ころころ元気にころがる。,FALSE,nigirin.webp,100,,FALSE,
nigiriman,ニギリマン,nigirin,10,standard,2,30,75,ゴロゴロ|にぎりアタック,大きくなった体で のりをまいて力をためる。,FALSE,nigiriman.webp,120,8,FALSE,
oninigiri,オニニギリ,nigirin,10,slow,3,44,144,オニ切り|にぎりこぶし,つのと大きなのりで みんなをまもる つよいおにぎり。,FALSE,oninigiri.webp,210,16,FALSE,
