stageId,order,monsterId,weight
g5-bunsu-tsubunnotani,2,icchoku,30
g5-bunsu-tsubunnotani,3,maruten,28
g5-bunsu-tsubunnotani,4,kazumaru,9.5
g5-bunsu-tsubunnotani,5,rainbow,0.5
g6-bunsu-bunsunokakezan,1,lumina,32
g6-bunsu-bunsunokakezan,2,tsukinoko,30
g6-bunsu-bunsunokakezan,3,kagemaru,28
g6-bunsu-bunsunokakezan,4,yoru,9.5
g6-bunsu-bunsunokakezan,5,hoshimimi,0.5
g6-bunsu-bunsunowarizan,1,soroban,32
g6-bunsu-bunsunowarizan,2,tenpico,30
g6-bunsu-bunsunowarizan,3,maruten,28
g6-bunsu-bunsunowarizan,4,icchoku,9.5
g6-bunsu-bunsunowarizan,5,rainbow,0.5
g2-tokei-tokeiwoyomu,1,tokekokko,34
g2-tokei-tokeiwoyomu,2,tsukinoko,29
g2-tokei-tokeiwoyomu,3,namirin,28.5
g2-tokei-tokeiwoyomu,4,awapon,8
g2-tokei-tokeiwoyomu,5,hoshimimi,0.5
g2-tokei-gofungoto,1,tokekokko,34
g2-tokei-gofungoto,2,awapon,29
g2-tokei-gofungoto,3,tsukinoko,28.5
g2-tokei-gofungoto,4,yoru,8
g2-tokei-gofungoto,5,hoshimimi,0.5
g2-tokei-ippunnokei,1,tsukinoko,34
g2-tokei-ippunnokei,2,tokekokko,29
g2-tokei-ippunnokei,3,namirin,28.5
g2-tokei-ippunnokei,4,awapon,8
g2-tokei-ippunnokei,5,hoshimimi,0.5
g2-tokei-tooifunnokei,1,tsubutako,34
g2-tokei-tooifunnokei,2,namirin,29
g2-tokei-tooifunnokei,3,tsukinoko,28.5
g2-tokei-tooifunnokei,4,yoru,8
g2-tokei-tooifunnokei,5,hoshimimi,0.5
g2-tokei-jippunnokei,1,mokousagi,30
g2-tokei-jippunnokei,2,tokekokko,35
g2-tokei-jippunnokei,4,rabimajo,1
g2-tokei-jippunnokei,3,tsubutako,20
g3-shosu-shosuichiketatashizan,1,namirin,34
g3-shosu-shosuichiketatashizan,2,awapon,29
g3-shosu-shosuichiketatashizan,3,pururunrun,28.5
g3-shosu-shosuichiketatashizan,4,tsukinoko,8
g3-shosu-shosuichiketatashizan,5,hoshimimi,0.5
g3-shosu-shosuichiketahikizan,1,awapon,34
g3-shosu-shosuichiketahikizan,2,namirin,29
g3-shosu-shosuichiketahikizan,3,koorin,28.5
g3-shosu-shosuichiketahikizan,4,yoru,8
g3-shosu-shosuichiketahikizan,5,hoshimimi,0.5
g4-shosu-shosuniketatashizan,1,tenpico,32
g4-shosu-shosuniketatashizan,2,maruten,30
g4-shosu-shosuniketatashizan,3,kazumaru,28
g4-shosu-shosuniketatashizan,4,rainbow,9.5
g4-shosu-shosuniketatashizan,5,hoshimimi,0.5
g4-shosu-shosuniketahikizan,1,soroban,32
g4-shosu-shosuniketahikizan,2,icchoku,30
g4-shosu-shosuniketahikizan,3,maruten,28
g4-shosu-shosuniketahikizan,4,kazumaru,9.5
g4-shosu-shosuniketahikizan,5,rainbow,0.5
g4-shosu-shosuketachigaitashizan,1,lumina,32
g4-shosu-shosuketachigaitashizan,2,tsukinoko,30
g4-shosu-shosuketachigaitashizan,3,kagemaru,28
g4-shosu-shosuketachigaitashizan,4,yoru,9.5
g4-shosu-shosuketachigaitashizan,5,hoshimimi,0.5
g4-shosu-shosuketachigaihikizan,1,soroban,32
g4-shosu-shosuketachigaihikizan,2,tenpico,30
g4-shosu-shosuketachigaihikizan,3,icchoku,28
g4-shosu-shosuketachigaihikizan,4,maruten,9.5
g4-shosu-shosuketachigaihikizan,5,rainbow,0.5
g3-shosu-shosuichiketakurinashi,1,namirin,34
g3-shosu-shosuichiketakurinashi,2,awapon,29
g3-shosu-shosuichiketakurinashi,3,pururunrun,28.5
g3-shosu-shosuichiketakurinashi,4,tsukinoko,8
g3-shosu-shosuichiketakurinashi,5,hoshimimi,0.5
g3-shosu-shosuichiketakuriari,1,tenpico,32
g3-shosu-shosuichiketakuriari,2,maruten,30
g3-shosu-shosuichiketakuriari,3,kazumaru,28
g3-shosu-shosuichiketakuriari,4,rainbow,9.5
g3-shosu-shosuichiketakuriari,5,hoshimimi,0.5
g1-junoyama-tenberunotou,1,tenpico,
g1-junoyama-tenberunotou,2,maruten,
g1-junoyama-tenberunotou,3,kazumaru,
g1-junoyama-tenberunotou,4,biricoro,
g1-hikizan-hikuichinokomichi,1,sagarun,54
g1-hikizan-hikuichinokomichi,2,hikine,38
g1-hikizan-hikuichinokomichi,3,hikikoma,8
g1-hikizan-hikuninokomichi,1,sagarun,42
g1-hikizan-hikuninokomichi,2,nokorin,40
g1-hikizan-hikuninokomichi,3,hikikoma,8
g1-hikizan-hikuninokomichi,4,nokobou,10
g1-hikizan-nokorinokomichi,1,sagarun,30
g1-hikizan-nokorinokomichi,2,hikine,30
g1-hikizan-nokorinokomichi,3,nokorin,30
g1-hikizan-nokorinokomichi,4,hikikoma,10
g1-hikizan-tennoichiba,1,nokobou,38
g1-hikizan-tennoichiba,2,sunasuna,28
g1-hikizan-tennoichiba,3,ganpiro,26
g1-hikizan-tennoichiba,4,hikikoma,8
g1-hikizan-nijubashi,1,nokobou,35
g1-hikizan-nijubashi,2,hikizuru,28
g1-hikizan-nijubashi,3,keshipa,27
g1-hikizan-nijubashi,4,zubagiri,10
g1-hikizan-juikutsunohashi,1,nokobou,36
g1-hikizan-juikutsunohashi,2,hikizuru,28
g1-hikizan-juikutsunohashi,3,keshipa,27.5
g1-hikizan-juikutsunohashi,4,zubagiri,8
g1-hikizan-juikutsunohashi,5,komorebi,0.5
g2-hikizan-kurainohikimichi,1,kurisaru,36
g2-hikizan-kurainohikimichi,2,zubagiri,28
g2-hikizan-kurainohikimichi,3,hikizuru,27.5
g2-hikizan-kurainohikimichi,4,zerogardx,8
g2-hikizan-kurainohikimichi,5,komorebi,0.5
g2-hikizan-nokoriishinotani,1,ishikoro,34
g2-hikizan-nokoriishinotani,2,sabimaru,28
g2-hikizan-nokoriishinotani,3,kurisaru,29.5
g2-hikizan-nokoriishinotani,4,zerogardx,8
g2-hikizan-nokoriishinotani,5,kiramekisama,0.5
g2-hikizan-ochibanogake,1,kurisaru,42
g2-hikizan-ochibanogake,2,hikizuru,28
g2-hikizan-ochibanogake,3,zubagiri,21.5
g2-hikizan-ochibanogake,4,zerogardx,8
g2-hikizan-ochibanogake,5,achichin,0.5
g2-hikizan-kurisagarinosenaka,1,kurisaru,35
g2-hikizan-kurisagarinosenaka,2,ishikoro,24
g2-hikizan-kurisagarinosenaka,3,sabimaru,23
g2-hikizan-kurisagarinosenaka,4,zerogardx,17.5
g2-hikizan-kurisagarinosenaka,5,kiramekisama,0.5
g2-kakezan-ichinodan,1,picoleaf,100
g2-kakezan-ichinodan,2,mokotane,0.1
g2-kakezan-ichinodan,3,haneppu,0.1
g2-kakezan-ninodan,1,chirip,
g2-kakezan-ninodan,2,pikopiko,
g2-kakezan-ninodan,3,kumorin,
g2-kakezan-ninodan,4,biricoro,
g2-kakezan-sannodan,1,raimaru,
g2-kakezan-sannodan,2,chirip,
g2-kakezan-sannodan,3,hinokoro,
g2-kakezan-sannodan,4,merarun,
g2-kakezan-yonnodan,1,shizukuchan,
g2-kakezan-yonnodan,2,namirin,
g2-kakezan-yonnodan,3,pururunrun,
g2-kakezan-yonnodan,4,potapon,
g2-kakezan-gonodan,1,tenpico,
g2-kakezan-gonodan,2,maruten,
g2-kakezan-gonodan,3,kazumaru,
g2-kakezan-gonodan,4,biricoro,
g2-kakezan-rokunodan,1,hikine,
g2-kakezan-rokunodan,2,nokorin,
g2-kakezan-rokunodan,3,zubagiri,
g2-kakezan-rokunodan,4,tenpico,
g2-kakezan-nananodan,1,ishikoro,
g2-kakezan-nananodan,2,sabimaru,
g2-kakezan-nananodan,3,maruishi,
g2-kakezan-nananodan,4,hikine,
g2-kakezan-hachinodan,1,kagemaru,
g2-kakezan-hachinodan,2,tsukinoko,
g2-kakezan-hachinodan,3,yoru,
g2-kakezan-hachinodan,4,awapon,
g2-kakezan-kyunodan,1,sunasuna,
g2-kakezan-kyunodan,2,ganpiro,
g2-kakezan-kyunodan,3,maruishi,
g2-kakezan-kyunodan,4,sabimaru,
g3-warizan-pittariwarizan,1,tenpico,32
g3-warizan-pittariwarizan,2,maruten,30
g3-warizan-pittariwarizan,3,kazumaru,28
g3-warizan-pittariwarizan,4,soroban,9.5
g3-warizan-pittariwarizan,5,rainbow,0.5
g3-warizan-amarinowarizan,1,soroban,32
g3-warizan-amarinowarizan,2,icchoku,30
g3-warizan-amarinowarizan,3,maruten,28
g3-warizan-amarinowarizan,4,kazumaru,9.5
g3-warizan-amarinowarizan,5,rainbow,0.5
g9-root-heihokon,1,lumina,32
g9-root-heihokon,2,tsukinoko,30
g9-root-heihokon,3,kagemaru,28
g9-root-heihokon,4,yoru,9.5
g9-root-heihokon,5,hoshimimi,0.5
g9-root-rootpittari,1,lumina,32
g9-root-rootpittari,2,kagemaru,30
g9-root-rootpittari,3,tsukinoko,28
g9-root-rootpittari,4,yoru,9.5
g9-root-rootpittari,5,hoshimimi,0.5
g10-root-rootplusminusnijo,1,lumina,32
g10-root-rootplusminusnijo,2,kagemaru,30
g10-root-rootplusminusnijo,3,tsukinoko,28
g10-root-rootplusminusnijo,4,yoru,9.5
g10-root-rootplusminusnijo,5,hoshimimi,0.5
g10-root-rootbunsukeisan,1,soroban,32
g10-root-rootbunsukeisan,2,icchoku,30
g10-root-rootbunsukeisan,3,maruten,28
g10-root-rootbunsukeisan,4,kazumaru,9.5
g10-root-rootbunsukeisan,5,rainbow,0.5
g10-root-bunborootonashi,1,soroban,32
g10-root-bunborootonashi,2,icchoku,30
g10-root-bunborootonashi,3,maruten,28
g10-root-bunborootonashi,4,kazumaru,9.5
g10-root-bunborootonashi,5,rainbow,0.5
g9-root-rootwonaosu,1,soroban,32
g9-root-rootwonaosu,2,icchoku,30
g9-root-rootwonaosu,3,maruten,28
g9-root-rootwonaosu,4,kazumaru,9.5
g9-root-rootwonaosu,5,rainbow,0.5
g10-root-rootnoshosu,1,lumina,32
g10-root-rootnoshosu,2,tsukinoko,30
g10-root-rootnoshosu,3,kagemaru,28
g10-root-rootnoshosu,4,yoru,9.5
g10-root-rootnoshosu,5,hoshimimi,0.5
g10-root-rootnodaisho,1,lumina,32
g10-root-rootnodaisho,2,kagemaru,30
g10-root-rootnodaisho,3,tsukinoko,28
g10-root-rootnodaisho,4,yoru,9.5
g10-root-rootnodaisho,5,hoshimimi,0.5
g9-root-onajiroottashi,1,lumina,32
g9-root-onajiroottashi,2,tsukinoko,30
g9-root-onajiroottashi,3,kagemaru,28
g9-root-onajiroottashi,4,yoru,9.5
g9-root-onajiroottashi,5,hoshimimi,0.5
g9-root-onajiroothiki,1,lumina,32
g9-root-onajiroothiki,2,kagemaru,30
g9-root-onajiroothiki,3,tsukinoko,28
g9-root-onajiroothiki,4,yoru,9.5
g9-root-onajiroothiki,5,hoshimimi,0.5
g9-root-naoshitetasu,1,soroban,32
g9-root-naoshitetasu,2,icchoku,30
g9-root-naoshitetasu,3,maruten,28
g9-root-naoshitetasu,4,kazumaru,9.5
g9-root-naoshitetasu,5,rainbow,0.5
g9-root-naoshitehiku,1,soroban,32
g9-root-naoshitehiku,2,icchoku,30
g9-root-naoshitehiku,3,maruten,28
g9-root-naoshitehiku,4,kazumaru,9.5
g9-root-naoshitehiku,5,rainbow,0.5
g1-junoyama-shikakunoitadaki,1,icchoku,32
g1-junoyama-shikakunoitadaki,2,soroban,32
g1-junoyama-shikakunoitadaki,3,kazumaru,27.5
g1-junoyama-shikakunoitadaki,4,maruten,8
g1-junoyama-shikakunoitadaki,5,rainbow,0.5
g1-ichinensei-gomadenotashizan,1,picoleaf,40
g1-ichinensei-gomadenotashizan,2,mokotane,35
g1-ichinensei-gomadenotashizan,3,haneppu,25
g1-ichinensei-gomadenohikizan,1,sagarun,40
g1-ichinensei-gomadenohikizan,2,hikine,35
g1-ichinensei-gomadenohikizan,3,nokorin,25
g1-ichinensei-gonotomodachi,1,picoleaf,40
g1-ichinensei-gonotomodachi,2,mokotane,35
g1-ichinensei-gonotomodachi,3,kororin,25
g1-ichinensei-jumadenotashizan,1,hanahana,40
g1-ichinensei-jumadenotashizan,2,midorin,35
g1-ichinensei-jumadenotashizan,3,tenpico,25
g1-ichinensei-jumadenohikizan,1,hikikoma,40
g1-ichinensei-jumadenohikizan,2,nokobou,35
g1-ichinensei-jumadenohikizan,3,zubagiri,25
g1-ichinensei-jumadenohikizan,4,keshikeshikun,30
g1-ichinensei-junotomodachi,1,mokotane,40
g1-ichinensei-junotomodachi,2,maruten,35
g1-ichinensei-junotomodachi,3,tenpico,25
g1-ichinensei-jumadenoanaume,1,soroban,40
g1-ichinensei-jumadenoanaume,2,kazumaru,35
g1-ichinensei-jumadenoanaume,3,maruten,25
g1-ichinensei-jutoikutsu,1,awapon,40
g1-ichinensei-jutoikutsu,2,namirin,35
g1-ichinensei-jutoikutsu,3,pururunrun,25
g1-ichinensei-juwohiku,1,nokobou,40
g1-ichinensei-juwohiku,2,sunasuna,35
g1-ichinensei-juwohiku,3,ganpiro,25
g1-ichinensei-juikutsunohikizan,1,hikizuru,40
g1-ichinensei-juikutsunohikizan,2,keshipa,35
g1-ichinensei-juikutsunohikizan,3,zubagiri,25
g1-ichinensei-juikutsunoanaume,1,nokobou,40
g1-ichinensei-juikutsunoanaume,2,hikizuru,35
g1-ichinensei-juikutsunoanaume,3,keshipa,25
g1-ichinensei-kuriagaritashizan,1,hinokoro,40
g1-ichinensei-kuriagaritashizan,2,merarun,35
g1-ichinensei-kuriagaritashizan,3,pokkuma,25
g1-ichinensei-kuriagaritashizan,4,ehonchan,30
g1-ichinensei-kuriagarinoshikaku,1,yakorin,40
g1-ichinensei-kuriagarinoshikaku,2,biricoro,35
g1-ichinensei-kuriagarinoshikaku,3,pikopiko,25
g1-ichinensei-kuriagarinoshikaku,4,ehonsenshi,25
g1-ichinensei-kurisagarihikizan,1,yukipon,40
g1-ichinensei-kurisagarihikizan,2,koorin,35
g1-ichinensei-kurisagarihikizan,3,tsururin,25
g1-ichinensei-kurisagarihikizan,4,keshikeshikun,25
g1-ichinensei-kurisagarinoshikaku,1,sagarun,40
g1-ichinensei-kurisagarinoshikaku,2,hikizuru,35
g1-ichinensei-kurisagarinoshikaku,3,zubagiri,25
g1-ichinensei-kurisagarinoshikaku,4,keshikeshikun,20
g1-ichinensei-niketatashizan,1,biricoro,40
g1-ichinensei-niketatashizan,2,raimaru,35
g1-ichinensei-niketatashizan,3,pikopiko,25
g1-ichinensei-niketatashizan,4,kabanban,30
g1-ichinensei-niketakarahiku,1,kurisaru,40
g1-ichinensei-niketakarahiku,2,zubagiri,35
g1-ichinensei-niketakarahiku,3,hikizuru,25
g1-ichinensei-nanjuwotasu,1,tenpico,35
g1-ichinensei-nanjuwotasu,2,maruten,30
g1-ichinensei-nanjuwotasu,3,kazumaru,25
g1-ichinensei-nanjuwotasu,4,soroban,10
g1-ichinensei-nanjuwotasu,5,ehonchan,15
g1-ichinensei-nanjuwohiku,1,soroban,35
g1-ichinensei-nanjuwohiku,2,icchoku,30
g1-ichinensei-nanjuwohiku,3,maruten,25
g1-ichinensei-nanjuwohiku,4,kazumaru,10
g1-ichinensei-jumadenomatome,1,picoleaf,30
g1-ichinensei-jumadenomatome,2,tenpico,30
g1-ichinensei-jumadenomatome,3,hikine,25
g1-ichinensei-jumadenomatome,4,kororin,15
g1-ichinensei-juikutsumatome,1,awapon,30
g1-ichinensei-juikutsumatome,2,nokobou,30
g1-ichinensei-juikutsumatome,3,hikizuru,25
g1-ichinensei-juikutsumatome,4,maruten,15
g1-ichinensei-nijumadenomatome,1,hinokoro,30
g1-ichinensei-nijumadenomatome,2,yukipon,30
g1-ichinensei-nijumadenomatome,3,biricoro,25
g1-ichinensei-nijumadenomatome,4,sagarun,15
g1-ichinensei-niketamatome,1,raimaru,30
g1-ichinensei-niketamatome,2,kurisaru,30
g1-ichinensei-niketamatome,3,soroban,25
g1-ichinensei-niketamatome,4,kazumaru,15
g1-ichinensei-ichinenseinoshiage,1,haneppu,25
g1-ichinensei-ichinenseinoshiage,2,kororin,25
g1-ichinensei-ichinenseinoshiage,3,yoru,20
g1-ichinensei-ichinenseinoshiage,4,sagarun,20
g1-ichinensei-ichinenseinoshiage,5,chirip,10
