id,order,stageCategoryId,name,subtitle,themeLabel,backgroundPath,accentColor,comingSoon,playLimitDisabled,minPracticeLevel,maxPracticeLevel,captureGaugeGain
g2-hikizan-ochibanogake,29,subtraction,おちばのがけ,2けた-1けた くりさがり,2けた-1けた,,#ffb15e,,,,,
g2-hikizan-kurisagarinosenaka,30,subtraction,くりさがりのせなか,2けた-2けた くりさがり,2けた-2けた,,#ffb15e,,,,,
g2-kakezan-ichinodan,31,multiplication,1のだん,1×1〜9,1×〇 / 1×□,,#f6d74f,,,,,
g2-kakezan-ninodan,32,multiplication,2のだん,2×1〜9,2×〇 / 2×□,,#f6d74f,,,,,
g2-kakezan-sannodan,33,multiplication,3のだん,3×1〜9,3×〇 / 3×□,,#f6d74f,,,,,
g2-kakezan-yonnodan,34,multiplication,4のだん,4×1〜9,4×〇 / 4×□,,#f6d74f,,,,,
g2-kakezan-gonodan,35,multiplication,5のだん,5×1〜9,5×〇 / 5×□,,#f6d74f,,,,,
g2-kakezan-rokunodan,36,multiplication,6のだん,6×1〜9,6×〇 / 6×□,,#f6d74f,,,,,
g2-kakezan-nananodan,37,multiplication,7のだん,7×1〜9,7×〇 / 7×□,,#f6d74f,,,,,
g2-kakezan-hachinodan,38,multiplication,8のだん,8×1〜9,8×〇 / 8×□,,#f6d74f,,,,,
g2-kakezan-kyunodan,39,multiplication,9のだん,9×1〜9,9×〇 / 9×□,,#f6d74f,,,,,
g3-warizan-pittariwarizan,49,division,ぴったりわり算,あまりなし,〇÷〇=□,assets/backgrounds/tenTower.webp,#a7d86e,,TRUE,,,
g3-warizan-amarinowarizan,50,division,あまりのわり算,あまりあり,〇÷〇=□あまり□,assets/backgrounds/tenTower.webp,#a7d86e,,TRUE,,,
g9-root-heihokon,51,root,平方根,±で答える,〇の平方根,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g9-root-rootpittari,52,root,√ぴったり,√を答える,√〇=□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g10-root-rootplusminusnijo,53,root,√(±n)²,√を外す,√(-n)²=□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,10,10,
g10-root-rootbunsukeisan,54,root,√分数計算,分数の√を計算,√(分数)=分数,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,10,10,
g10-root-bunborootonashi,55,root,分母√なし,分母から√をけす,〇/√□=□√□/□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,10,10,
g9-root-rootwonaosu,56,root,√をなおす,√をなおす,√〇=□√□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g10-root-rootnoshosu,57,root,√の小数,小数点下3けた,√2・√3・√5・√7,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,10,10,
g10-root-rootnodaisho,58,root,√の大小,大きさくらべ,大きいほう,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,10,10,
g9-root-onajiroottashi,59,root,同じ√たし,同じ√をたす,□√□+□√□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g9-root-onajiroothiki,60,root,同じ√ひき,同じ√をひく,□√□-□√□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g9-root-naoshitetasu,61,root,なおしてたす,√をなおしてたす,√□+□√□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g9-root-naoshitehiku,62,root,なおしてひく,√をなおしてひく,√□-□√□,assets/backgrounds/moonRuins.webp,#c5b7ff,,TRUE,9,9,
g1-junoyama-shikakunoitadaki,40,makeTen,□のいただき,10のやまの □,〇+〇=□,,#ffd766,,,,,
g1-ichinensei-gomadenotashizan,1,grade1Arithmetic,5までのたしざん,ちいさいかずをたす,□+□=5まで,assets/backgrounds/grasslands.webp,#9de39f,,,1,1,
g1-ichinensei-gomadenohikizan,2,grade1Arithmetic,5までのひきざん,ちいさいかずをひく,□-□=5まで,assets/backgrounds/grasslands.webp,#9de39f,,,1,1,
g1-ichinensei-gonotomodachi,3,grade1Arithmetic,5のともだち,たして5にする,□+〇=5,assets/backgrounds/tenTower.webp,#9de39f,,,1,1,
g1-ichinensei-jumadenotashizan,4,grade1Arithmetic,10までのたしざん,10までをたす,□+□=10まで,assets/backgrounds/grasslands.webp,#9de39f,,,1,1,
g1-ichinensei-jumadenohikizan,5,grade1Arithmetic,10までのひきざん,10までをひく,□-□=10まで,assets/backgrounds/iceCave.webp,#9de39f,,,1,1,
g1-ichinensei-junotomodachi,6,grade1Arithmetic,10のともだち,たして10にする,□+〇=10,assets/backgrounds/tenTower.webp,#9de39f,,,1,1,
g1-ichinensei-jumadenoanaume,7,grade1Arithmetic,10までのあなうめ,かくれたかず,□をさがす,assets/backgrounds/tenTower.webp,#9de39f,,,1,1,
g1-ichinensei-jutoikutsu,8,grade1Arithmetic,10といくつ,10にかずをたす,10+〇,assets/backgrounds/waterGarden.webp,#9de39f,,,1,1,
g1-ichinensei-juwohiku,9,grade1Arithmetic,10をひく,10いくつから10,10いくつ-10,assets/backgrounds/waterGarden.webp,#9de39f,,,1,1,
g1-ichinensei-juikutsunohikizan,10,grade1Arithmetic,10いくつのひきざん,くりさがりなし,16-3,assets/backgrounds/waterGarden.webp,#9de39f,,,1,1,
g1-ichinensei-juikutsunoanaume,11,grade1Arithmetic,10いくつのあなうめ,10いくつの□,□をさがす,assets/backgrounds/waterGarden.webp,#9de39f,,,1,1,
g1-ichinensei-kuriagaritashizan,12,grade1Arithmetic,くりあがりたしざん,20までのたしざん,8+7,assets/backgrounds/fireMountain.webp,#9de39f,,,1,1,
g1-ichinensei-kuriagarinoshikaku,13,grade1Arithmetic,くりあがりの□,たしざんあなうめ,8+□=14,assets/backgrounds/fireMountain.webp,#9de39f,,,1,1,
g1-ichinensei-kurisagarihikizan,14,grade1Arithmetic,くりさがりひきざん,20までのひきざん,13-8,assets/backgrounds/iceCave.webp,#9de39f,,,1,1,
g1-ichinensei-kurisagarinoshikaku,15,grade1Arithmetic,くりさがりの□,ひきざんあなうめ,15-□=7,assets/backgrounds/iceCave.webp,#9de39f,,,1,1,
g1-ichinensei-niketatashizan,16,grade1Arithmetic,2けたにたす,くりあがりなし,34+5,assets/backgrounds/thunderHighland.webp,#9de39f,,,1,1,
g1-ichinensei-niketakarahiku,17,grade1Arithmetic,2けたからひく,くりさがりなし,38-8,assets/backgrounds/thunderHighland.webp,#9de39f,,,1,1,
g1-ichinensei-nanjuwotasu,18,grade1Arithmetic,なんじゅうをたす,10のまとまり,20+40,assets/backgrounds/tenTower.webp,#9de39f,,,1,1,
g1-ichinensei-nanjuwohiku,19,grade1Arithmetic,なんじゅうをひく,10のまとまり,70-30,assets/backgrounds/tenTower.webp,#9de39f,,,1,1,
g1-ichinensei-jumadenomatome,20,grade1Arithmetic,10までのまとめ,たしざん・ひきざん,10まで,assets/backgrounds/grasslands.webp,#9de39f,,,1,1,
g1-ichinensei-juikutsumatome,21,grade1Arithmetic,10いくつまとめ,10といくつ,10いくつ,assets/backgrounds/waterGarden.webp,#9de39f,,,1,1,
g1-ichinensei-nijumadenomatome,22,grade1Arithmetic,20までのまとめ,くりあがり・くりさがり,20まで,assets/backgrounds/fireMountain.webp,#9de39f,,,1,1,
g1-ichinensei-niketamatome,23,grade1Arithmetic,2けたまとめ,かんたんな2けた,2けた,assets/backgrounds/thunderHighland.webp,#9de39f,,,1,1,
g1-ichinensei-ichinenseinoshiage,24,grade1Arithmetic,1ねんせいのしあげ,ぜんぶまとめ,1ねんせい,assets/backgrounds/moonRuins.webp,#9de39f,,,1,1,
